,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_with_curr_manager,rate_avg
86,23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,9518,3,No,13,3,3,1,3,3,3,0,0,0,3373.6666666666665
87,51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,18725,3,No,23,4,2,2,10,4,3,4,2,3,6417.666666666667
88,30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,15830,1,No,19,3,1,3,11,3,3,11,10,8,5405.666666666667
89,46,Yes,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,13596,1,No,16,3,4,0,9,3,3,9,8,7,4776.333333333333
90,40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,14115,1,No,22,4,4,1,22,3,2,22,3,11,4907.666666666667
91,51,No,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,8423,0,Yes,22,4,4,0,11,2,1,10,7,0,3042.0
92,30,No,Travel_Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,19760,1,Yes,12,3,2,3,11,4,2,11,8,7,7052.333333333333
93,46,No,Travel_Frequently,638,Research & Development,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,3142,2,Yes,13,3,3,1,21,5,2,10,9,5,1273.3333333333333
94,32,No,Travel_Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,24301,1,No,16,3,1,0,12,0,3,11,8,7,8493.666666666666
95,54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,24001,9,No,12,3,1,1,16,5,1,4,3,3,8426.0
96,24,No,Travel_Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,17519,0,No,21,4,1,1,4,2,2,3,2,2,6301.666666666667
97,28,No,Non-Travel,120,Sales,4,3,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,8863,1,No,15,3,2,0,5,3,4,5,4,4,3008.6666666666665
98,58,No,Travel_Rarely,682,Sales,10,4,Medical,131,4,Male,37,3,4,Sales Executive,3,Single,24409,0,No,13,3,3,0,38,1,2,37,10,8,8376.0
99,44,No,Non-Travel,489,Research & Development,23,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,25043,4,No,12,3,3,1,17,3,4,3,2,2,8533.0
100,37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,3,Male,63,3,1,Human Resources,1,Divorced,23648,4,Yes,22,4,4,0,7,3,3,3,2,2,8172.666666666667
101,32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,15178,1,No,13,3,4,0,1,2,3,1,0,0,5358.666666666667
102,20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,19783,1,Yes,18,3,2,0,1,5,3,1,0,0,6906.666666666667
103,34,No,Travel_Rarely,665,Research & Development,6,4,Other,138,1,Female,41,3,2,Research Scientist,3,Single,12482,1,No,14,3,3,0,16,3,3,16,13,10,4396.0
104,37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,15850,5,No,14,3,4,1,17,2,4,1,0,0,5663.333333333333
105,59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,140,3,Female,32,2,5,Manager,4,Married,21922,9,No,21,4,4,1,30,3,3,3,2,2,7791.333333333333
106,50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,9755,3,Yes,19,3,1,0,28,1,2,8,3,7,3647.6666666666665
107,25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,142,3,Male,46,2,2,Sales Executive,3,Single,26959,1,Yes,11,3,4,0,6,1,3,6,4,3,9081.666666666666
108,25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,143,4,Male,64,2,1,Research Scientist,4,Married,26897,1,No,11,3,3,2,2,2,3,2,2,1,9413.666666666666
109,22,No,Travel_Rarely,534,Research & Development,15,3,Medical,144,2,Female,59,3,1,Laboratory Technician,4,Single,23785,1,No,15,3,3,0,1,5,3,0,0,0,8126.0
110,51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,145,1,Female,30,2,3,Healthcare Representative,1,Single,25796,3,No,20,4,3,0,23,1,2,13,12,8,9094.0
111,34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,Single,22887,1,Yes,24,4,4,0,9,3,3,9,7,6,7870.333333333333
112,54,No,Non-Travel,142,Human Resources,26,3,Human Resources,148,4,Female,30,4,4,Manager,4,Single,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4681.0
113,24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,Married,13257,0,No,12,3,3,1,6,2,3,5,3,2,4812.0
114,34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,151,3,Female,45,2,2,Research Scientist,2,Divorced,15000,6,No,15,3,3,1,12,3,3,1,0,0,5358.666666666667
115,37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,Single,14506,2,No,12,3,1,0,12,3,3,5,3,3,5260.666666666667
116,34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,153,3,Female,45,2,3,Manager,1,Single,5615,2,No,12,3,4,0,14,6,3,11,10,8,2338.0
117,36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,154,2,Female,92,3,3,Sales Executive,4,Married,22952,0,No,14,3,3,1,10,6,3,9,7,8,8170.333333333333
118,36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2561,5,No,22,4,1,1,7,2,3,1,0,0,1174.0
119,43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,158,3,Male,92,3,4,Manager,4,Married,19494,1,Yes,12,3,4,2,25,3,4,25,12,12,6660.0
120,30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,Divorced,22310,1,No,25,4,3,3,10,2,2,10,7,9,7906.0
121,33,No,Non-Travel,750,Sales,22,2,Marketing,160,3,Male,95,3,2,Sales Executive,2,Married,15480,0,No,13,3,1,1,8,2,4,7,7,7,5441.666666666667
122,56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,161,2,Female,72,3,1,Research Scientist,2,Married,4510,9,Yes,18,3,1,3,7,2,3,5,4,3,1674.3333333333333
123,51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,162,1,Male,51,3,5,Research Director,3,Single,6462,7,No,13,3,3,0,23,5,3,20,18,15,2399.0
124,31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,163,2,Male,76,1,2,Sales Executive,3,Married,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7021.333333333333
125,26,No,Travel_Rarely,841,Research & Development,6,3,Other,164,3,Female,46,2,1,Research Scientist,2,Married,23300,1,No,19,3,3,0,5,3,2,5,4,3,8062.333333333333
126,58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,165,4,Female,94,3,3,Healthcare Representative,4,Married,3465,1,No,12,3,4,1,40,3,2,40,10,6,1235.3333333333333
127,19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,167,4,Male,50,3,1,Sales Representative,3,Single,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,9132.666666666666
128,22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,169,3,Male,100,3,1,Laboratory Technician,4,Married,19299,0,No,14,3,3,1,3,2,3,2,1,1,6664.333333333333
129,49,No,Travel_Rarely,470,Research & Development,20,4,Medical,170,3,Female,96,3,2,Manufacturing Director,1,Married,5549,1,No,14,3,3,0,16,2,2,15,11,11,2038.3333333333333
130,43,No,Travel_Frequently,957,Research & Development,28,3,Medical,171,2,Female,72,4,1,Research Scientist,3,Single,16090,4,No,12,3,4,0,18,2,3,3,2,2,5706.333333333333
131,50,No,Travel_Frequently,809,Sales,12,3,Marketing,174,3,Female,77,3,3,Sales Executive,4,Single,6645,4,No,11,3,4,0,16,3,3,2,2,1,2510.3333333333335
132,31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,175,2,Female,71,1,2,Sales Executive,3,Married,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,8467.0
133,41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,176,3,Male,96,3,3,Sales Executive,3,Divorced,21196,3,Yes,13,3,3,1,12,2,3,9,7,7,7364.666666666667
134,26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,177,3,Female,61,3,1,Human Resources,3,Married,8916,1,No,23,4,4,1,8,3,3,8,7,7,3444.0
135,36,No,Travel_Rarely,216,Research & Development,6,2,Medical,178,2,Male,84,3,2,Manufacturing Director,2,Divorced,2819,6,No,20,4,4,2,7,0,3,3,2,1,1039.6666666666667
136,51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,179,1,Male,53,1,3,Manufacturing Director,4,Single,25150,2,No,15,3,4,0,18,2,3,4,2,3,8784.333333333334
137,39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,182,4,Female,47,2,2,Sales Executive,3,Married,14590,4,No,14,3,3,1,17,1,4,15,11,9,5322.0
138,25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,183,1,Male,41,2,2,Sales Executive,3,Married,24835,2,No,18,3,4,0,6,3,3,2,2,2,8611.666666666666
139,30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,184,3,Male,48,3,2,Human Resources,4,Married,13982,0,Yes,19,3,4,0,12,2,1,11,9,7,5090.0
140,32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,190,1,Female,41,3,1,Laboratory Technician,1,Single,10224,7,No,22,4,1,0,10,2,4,5,4,4,3766.0
141,45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,192,3,Male,83,3,1,Research Scientist,4,Single,9752,5,No,13,3,2,0,9,2,2,6,5,3,3717.0
142,38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,193,4,Female,32,3,2,Research Scientist,3,Single,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,899.3333333333334
143,30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,194,1,Female,75,3,1,Research Scientist,3,Single,23910,1,No,14,3,3,0,5,4,2,5,4,4,8141.0
144,32,No,Travel_Frequently,689,Sales,9,2,Medical,195,4,Male,35,1,2,Sales Executive,4,Divorced,22812,0,No,17,3,4,3,9,2,4,8,7,7,7845.333333333333
145,30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,197,4,Female,84,3,1,Research Scientist,1,Divorced,10415,5,No,14,3,4,1,8,3,3,3,2,2,3566.6666666666665
