age,daily_rate,distance_from_home,education,employee_number,environment_satisfaction,hourly_rate,job_involvement,job_level,job_satisfaction,monthly_rate,num_companies_worked,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_with_curr_manager,rate_avg,business_travel_non-_travel,business_travel_travel_frequently,business_travel_travel_rarely,department_human_resources,department_research&_development,department_sales,education_field_human_resources,education_field_life_sciences,education_field_marketing,education_field_medical,education_field_other,education_field_technical_degree,gender_female,gender_male,job_role_healthcare_representative,job_role_human_resources,job_role_laboratory_technician,job_role_manager,job_role_manufacturing_director,job_role_research_director,job_role_research_scientist,job_role_sales_executive,job_role_sales_representative,marital_status_divorced,marital_status_married,marital_status_single,over_time_no,over_time_yes,attrition
35,809,16,3,14,1,84,4,1,2,16479,0,13,3,3,1,6,5,3,5,4,3,5790.666667,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
29,153,15,2,15,4,49,2,2,3,12682,0,12,3,4,0,10,3,3,9,5,8,4294.666667,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
31,670,26,1,16,1,31,3,1,3,15170,1,17,3,4,1,5,1,2,5,2,3,5290.333333,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
34,1346,19,2,18,2,93,3,1,4,8758,0,11,3,3,1,3,2,3,2,2,2,3399,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
28,103,24,3,19,3,50,2,1,3,12947,5,14,3,2,0,6,4,3,4,2,3,4366.666667,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
29,1389,21,4,20,2,51,4,3,1,10195,1,11,3,3,1,10,1,3,10,9,8,3878.333333,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
32,334,5,2,21,1,80,4,1,2,15053,0,12,3,4,2,7,5,2,6,2,5,5155.666667,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
22,1123,16,2,22,4,96,4,1,4,7324,1,13,3,2,2,1,2,2,1,0,0,2847.666667,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
53,1219,2,4,23,1,78,2,4,4,22021,2,16,3,3,0,31,3,3,25,8,7,7772.666667,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
38,371,2,3,24,4,45,3,1,4,4306,5,11,3,3,0,6,3,3,3,2,2,1574,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
24,673,11,2,26,1,96,4,2,3,8232,0,18,3,4,1,5,5,2,4,2,3,3000.333333,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
36,1218,9,4,27,3,82,2,1,1,6986,7,23,4,2,0,10,4,3,5,3,3,2762,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
34,419,7,4,28,1,53,3,3,2,21293,0,11,3,3,0,13,4,3,12,6,11,7255,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
21,391,15,2,30,3,96,3,1,4,19281,1,14,3,4,0,0,6,3,0,0,0,6589.333333,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
34,699,6,1,31,2,83,3,1,1,17102,2,11,3,3,0,8,2,3,4,2,3,5961.333333,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
53,1282,5,3,32,3,58,3,5,3,10735,4,11,3,4,1,26,3,2,14,13,8,4025,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
32,1125,16,1,33,2,72,1,1,1,4681,1,22,4,2,0,10,5,3,10,2,7,1959.333333,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
42,691,8,4,35,3,48,3,2,2,21173,0,11,3,4,1,10,2,3,9,7,2,7304,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
44,477,7,4,36,1,42,2,3,4,2094,3,14,3,4,1,24,4,3,22,6,17,871,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,705,2,4,38,2,83,3,5,1,22822,3,12,3,4,0,22,2,2,2,2,1,7870,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
33,924,2,3,39,3,78,3,1,4,6670,4,11,3,4,0,7,3,3,1,1,0,2557.333333,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
44,1459,10,4,40,4,41,3,2,4,19121,2,13,3,4,0,9,5,4,4,2,3,6873.666667,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,125,9,2,41,4,83,2,1,3,16117,1,13,3,1,0,10,5,3,10,0,8,5441.666667,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
39,895,5,3,42,4,56,3,2,4,3335,3,14,3,3,1,19,6,4,1,0,0,1428.666667,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
24,813,1,3,45,2,61,3,1,4,3020,2,16,3,1,1,6,2,2,2,0,0,1298,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
43,1273,2,2,46,4,72,4,1,3,21923,1,12,3,4,2,6,3,2,5,3,4,7756,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
50,869,3,2,47,1,86,2,1,3,3810,1,14,3,3,0,3,2,3,3,2,2,1588.333333,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
35,890,2,3,49,4,97,3,1,4,9687,1,13,3,1,0,2,3,3,2,2,2,3558,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
36,852,5,4,51,2,82,2,1,1,13072,9,14,3,4,1,6,3,4,1,1,0,4668.666667,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
33,1141,1,3,52,3,42,4,2,1,3193,2,19,3,1,2,10,3,3,5,3,3,1458.666667,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
35,464,4,2,53,3,75,3,1,4,10910,1,12,3,3,1,1,3,3,1,0,0,3816.333333,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
27,1240,2,4,54,4,33,3,1,1,19715,1,13,3,4,1,1,6,3,1,0,0,6996,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
26,1357,25,3,55,1,48,1,1,3,10558,1,12,3,3,0,1,2,2,1,0,1,3987.666667,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
27,994,8,3,56,4,37,3,3,3,2975,1,15,3,4,0,9,0,3,9,8,7,1335.333333,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
30,721,1,2,57,3,58,3,2,4,10781,1,23,4,4,0,12,2,3,12,8,7,3853.333333,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
41,1360,12,3,58,2,49,3,5,3,16280,1,12,3,4,0,23,0,3,22,15,8,5896.333333,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
34,1065,23,4,60,2,72,3,2,3,10034,0,20,4,3,0,10,2,3,9,5,7,3723.666667,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
37,408,19,2,61,2,73,3,1,2,10227,4,21,4,1,0,8,1,3,1,0,0,3569.333333,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
46,1211,5,4,62,1,98,3,2,4,20445,4,21,4,3,0,14,4,3,9,6,8,7251.333333,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
35,1229,8,1,63,4,36,4,1,4,4892,1,19,3,4,0,1,2,3,1,0,1,2052.333333,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
48,626,1,2,64,1,98,2,3,3,19294,9,13,3,4,0,23,2,3,1,0,0,6672.666667,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
28,1434,5,4,65,3,50,3,1,3,11179,1,13,3,3,0,2,3,2,2,2,2,4221,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
44,1488,1,5,68,2,75,3,2,1,4009,5,21,4,3,1,9,2,2,4,3,3,1857.333333,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
35,1097,11,2,70,3,79,2,3,1,8302,2,13,3,3,1,10,3,3,4,0,3,3159.333333,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,1443,23,3,72,3,47,2,2,4,21436,7,19,3,3,1,5,2,2,2,2,0,7642,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
33,515,1,2,73,1,98,3,3,4,15146,1,12,3,3,0,15,1,3,15,14,12,5253,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
35,853,18,5,74,2,71,3,3,1,11031,1,22,4,4,1,9,3,2,9,8,8,3985,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
35,1142,23,4,75,3,30,3,1,1,16002,3,15,3,3,1,4,3,3,2,2,2,5724.666667,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
31,655,7,4,76,4,48,3,2,4,9528,3,22,4,4,1,10,3,2,7,7,7,3410.333333,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
37,1115,1,4,77,1,51,2,2,3,2689,1,18,3,3,1,7,2,4,7,5,7,1285,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
32,427,1,3,78,1,33,3,2,4,10877,1,22,4,2,1,9,3,3,9,8,8,3779,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
38,653,29,5,79,4,50,3,2,4,5456,1,11,3,4,0,10,2,3,10,3,9,2053,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
50,989,7,2,80,2,43,2,5,3,16701,5,12,3,4,1,29,2,2,27,3,8,5911,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
59,1435,25,3,81,1,99,3,3,1,2354,7,11,3,4,0,28,3,2,21,16,9,1296,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
36,1223,8,3,83,3,59,3,3,3,8202,1,13,3,2,3,17,2,3,17,14,8,3161.333333,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
55,836,8,3,84,4,33,3,4,3,19730,2,14,3,3,3,21,2,3,5,0,2,6866.333333,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
36,1195,11,3,85,2,95,2,2,2,22656,1,13,3,3,0,6,3,3,6,5,3,7982,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
45,1339,7,3,86,2,59,3,3,1,18787,2,17,3,3,1,25,2,3,1,0,0,6728.333333,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
35,664,1,3,88,2,79,3,1,1,5868,4,13,3,4,1,5,2,2,3,2,2,2203.666667,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
36,318,9,3,90,4,79,2,1,3,21777,0,17,3,1,1,2,0,2,1,0,0,7391.333333,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
59,1225,1,1,91,1,57,2,2,3,24668,7,11,3,4,0,20,2,2,4,3,3,8650,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
29,1328,2,3,94,3,76,3,1,2,4956,0,23,4,4,1,6,3,3,5,4,4,2120,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
31,1082,1,4,95,3,87,3,1,2,18775,1,17,3,2,0,1,4,3,1,1,0,6648,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
32,548,1,3,96,2,66,3,2,2,7346,1,17,3,2,2,10,3,3,10,4,9,2653.333333,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
36,132,6,3,97,2,55,4,1,4,22002,3,12,3,2,0,5,3,3,1,0,0,7396.333333,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
31,746,8,4,98,3,61,3,2,4,20682,1,23,4,4,0,11,2,3,11,7,8,7163,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
35,776,1,4,100,3,32,2,2,1,23016,0,14,3,2,0,16,2,3,15,13,8,7941.333333,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
45,193,6,4,101,4,52,3,3,1,15067,4,14,3,2,0,17,3,4,0,0,0,5104,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
37,397,7,4,102,1,30,3,3,3,25258,4,13,3,1,0,16,3,4,5,2,2,8561.666667,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
46,945,5,2,103,2,80,3,2,2,10425,8,22,4,4,1,16,2,3,4,2,2,3816.666667,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
30,852,1,1,104,4,55,2,2,4,15998,1,12,3,3,2,10,1,2,10,8,0,5635,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
35,1214,1,3,105,2,30,2,1,3,26278,1,18,3,1,0,6,3,3,6,4,4,9174,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
55,111,1,2,106,1,70,3,3,4,18092,3,14,3,4,1,24,4,3,1,0,0,6091,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
38,573,6,3,107,2,79,1,2,4,15717,7,12,3,4,3,17,3,3,13,11,9,5456.333333,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
34,1153,1,2,110,1,94,3,2,2,17736,1,15,3,3,0,5,2,3,5,2,3,6327.666667,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
56,1400,7,3,112,4,49,1,3,4,21698,4,11,3,1,0,37,3,2,6,4,2,7715.666667,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
23,541,2,1,113,3,62,3,1,1,9518,3,13,3,3,1,3,3,3,0,0,0,3373.666667,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
51,432,9,4,116,4,96,3,1,4,18725,3,23,4,2,2,10,4,3,4,2,3,6417.666667,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
30,288,2,3,117,3,99,2,2,4,15830,1,19,3,1,3,11,3,3,11,10,8,5405.666667,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,669,9,2,118,3,64,2,3,4,13596,1,16,3,4,0,9,3,3,9,8,7,4776.333333,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
40,530,1,4,119,3,78,2,4,2,14115,1,22,4,4,1,22,3,2,22,3,11,4907.666667,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
51,632,21,4,120,3,71,3,2,4,8423,0,22,4,4,0,11,2,1,10,7,0,3042,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
30,1334,4,2,121,3,63,2,2,2,19760,1,12,3,2,3,11,4,2,11,8,7,7052.333333,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
46,638,1,3,124,3,40,2,3,1,3142,2,13,3,3,1,21,5,2,10,9,5,1273.333333,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
32,1093,6,4,125,2,87,3,2,3,24301,1,16,3,1,0,12,0,3,11,8,7,8493.666667,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
54,1217,2,4,126,1,60,3,3,3,24001,9,12,3,1,1,16,5,1,4,3,3,8426,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
24,1353,3,2,128,1,33,3,2,3,17519,0,21,4,1,1,4,2,2,3,2,2,6301.666667,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
28,120,4,3,129,2,43,3,2,3,8863,1,15,3,2,0,5,3,4,5,4,4,3008.666667,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
58,682,10,4,131,4,37,3,4,3,24409,0,13,3,3,0,38,1,2,37,10,8,8376,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
44,489,23,3,132,2,67,3,2,2,25043,4,12,3,3,1,17,3,4,3,2,2,8533,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
37,807,6,4,133,3,63,3,1,1,23648,4,22,4,4,0,7,3,3,3,2,2,8172.666667,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
32,827,1,1,134,4,71,3,1,1,15178,1,13,3,4,0,1,2,3,1,0,0,5358.666667,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
20,871,6,3,137,4,66,2,1,4,19783,1,18,3,2,0,1,5,3,1,0,0,6906.666667,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
34,665,6,4,138,1,41,3,2,3,12482,1,14,3,3,0,16,3,3,16,13,10,4396,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
37,1040,2,2,139,3,100,2,2,4,15850,5,14,3,4,1,17,2,4,1,0,0,5663.333333,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59,1420,2,4,140,3,32,2,5,4,21922,9,21,4,4,1,30,3,3,3,2,2,7791.333333,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
50,1115,1,3,141,1,73,3,5,2,9755,3,19,3,1,0,28,1,2,8,3,7,3647.666667,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
25,240,5,3,142,3,46,2,2,3,26959,1,11,3,4,0,6,1,3,6,4,3,9081.666667,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
25,1280,7,1,143,4,64,2,1,4,26897,1,11,3,3,2,2,2,3,2,2,1,9413.666667,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
22,534,15,3,144,2,59,3,1,4,23785,1,15,3,3,0,1,5,3,0,0,0,8126,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
51,1456,1,4,145,1,30,2,3,1,25796,3,20,4,3,0,23,1,2,13,12,8,9094,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34,658,7,3,147,1,66,1,2,3,22887,1,24,4,4,0,9,3,3,9,7,6,7870.333333,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
54,142,26,3,148,4,30,4,4,4,13871,2,12,3,3,0,23,3,3,5,3,4,4681,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
24,1127,18,1,150,2,52,3,1,3,13257,0,12,3,3,1,6,2,3,5,3,2,4812,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
34,1031,6,4,151,3,45,2,2,2,15000,6,15,3,3,1,12,3,3,1,0,0,5358.666667,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
37,1189,3,3,152,3,87,3,3,4,14506,2,12,3,1,0,12,3,3,5,3,3,5260.666667,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
34,1354,5,3,153,3,45,2,3,1,5615,2,12,3,4,0,14,6,3,11,10,8,2338,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
36,1467,11,2,154,2,92,3,3,4,22952,0,14,3,3,1,10,6,3,9,7,8,8170.333333,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
36,922,3,2,155,1,39,3,1,4,2561,5,22,4,1,1,7,2,3,1,0,0,1174,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
43,394,26,2,158,3,92,3,4,4,19494,1,12,3,4,2,25,3,4,25,12,12,6660,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
30,1312,23,3,159,1,96,1,1,3,22310,1,25,4,3,3,10,2,2,10,7,9,7906,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
